Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Larry Lawrence,OAK,QB,25,7,1,4,11,29,0,1,4,39,9.75,0,0,0,,0,0,,0,,,3,3.1,4.1,4.1,,54,
Molly McGee,ATL,RB,22,10,1,0,0,0,0,0,7,30,4.29,0,0,0,,0,0,,0,,,3,3.0,3.0,3.0,,140,
Bruce Coslet,CIN,TE,28,14,1,0,0,0,0,0,0,0,,0,2,24,12.00,0,0,,0,,,2,4.4,4.4,3.4,,44,
Jim Del Gaizo,NYG,QB,27,4,3,12,32,165,0,3,3,15,5.00,0,0,0,,0,0,,0,,,2,2.1,5.1,5.1,,56,
Chip Glass,NYG,TE,27,13,1,0,0,0,0,0,0,0,,0,3,23,7.67,0,0,,0,,,2,5.3,5.3,3.8,,45,
Sam Havrilak,NOR,WR,27,6,0,0,0,0,0,0,0,0,,0,1,23,23.00,0,0,,0,,,2,3.3,3.3,2.8,,95,
Dennis Morrison,SFO,QB,23,3,2,21,51,227,1,5,1,0,0.00,0,0,0,,0,1,,0,,,2,2.1,7.6,7.1,,57,
Greg Oliver,PHI,RB,25,14,0,0,0,0,0,0,7,19,2.71,0,0,0,,0,0,,0,,,2,1.9,1.9,1.9,,141,
Barty Smith,GNB,FB,22,8,0,0,0,0,0,0,9,19,2.11,0,0,0,,0,0,,0,,,2,1.9,1.9,1.9,,142,
Charlie Smith,PHI,WR,24,14,0,0,0,0,0,0,0,0,,0,1,28,28.00,0,1,,0,,,2,2.8,3.3,2.3,,96,
John Andrews,BAL,RB,26,14,1,0,0,0,0,0,5,6,1.20,0,0,0,,0,0,,0,,,1,0.6,0.6,0.6,,151,
Warren Bankston,OAK,TE,27,14,0,0,0,0,0,0,1,6,6.00,0,0,0,,0,0,,0,,,1,0.6,0.6,0.6,,49,
Joe Barnes,CHI,QB,23,3,0,2,9,29,0,1,1,19,19.00,0,0,0,,0,0,,0,,,1,1.1,2.1,2.1,,58,
Al Chandler,CIN,TE,24,14,0,0,0,0,0,0,0,0,,0,1,9,9.00,0,0,,0,,,1,1.9,1.9,1.4,,46,
Mike Donohoe,GNB,TE,29,14,0,0,0,0,0,0,0,0,,0,1,8,8.00,0,0,,0,,,1,1.8,1.8,1.3,,47,
Neil Graff,NWE,QB,24,14,0,1,1,20,0,0,0,0,,0,0,0,,0,0,,0,,,1,0.8,0.8,0.8,,59,
Bob Gresham,HOU,RB,26,14,0,0,0,0,0,0,3,6,2.00,0,3,19,6.33,0,2,,0,,,1,3.5,4.5,2.0,,153,
Bob Hudson,OAK,RB,26,14,0,0,0,0,0,0,1,12,12.00,0,0,0,,0,0,,0,,,1,1.2,1.2,1.2,,144,
Randy Jackson,PHI,RB,26,14,1,0,0,0,0,0,7,3,0.43,0,2,17,8.50,0,1,,0,,,1,3.0,3.5,2.0,,148,
Ed Jenkins,3TM,RB,24,12,0,0,0,0,0,0,0,0,,0,1,12,12.00,0,0,,0,,,1,2.2,2.2,1.7,,145,
Earl McCullouch,NOR,WR,28,3,0,0,0,0,0,0,0,0,,0,1,5,5.00,0,0,,0,,,1,1.5,1.5,1.0,,98,
Wayne Mosley,BUF,RB,22,3,0,0,0,0,0,0,2,6,3.00,0,0,0,,0,0,,0,,,1,0.6,0.6,0.6,,152,
Eddie Moss,STL,RB,26,11,0,0,0,0,0,0,4,13,3.25,0,0,0,,0,0,,0,,,1,1.3,1.3,1.3,,143,
Frank Pitts,OAK,WR,31,13,0,0,0,0,0,0,1,-10,-10.00,0,3,23,7.67,0,0,,0,,,1,4.3,4.3,2.8,,97,
Oliver Ross,DEN,RB,25,7,0,0,0,0,0,0,3,8,2.67,0,1,13,13.00,0,1,,0,,,1,2.1,2.6,1.6,,146,
John Strada,2TM,TE,22,12,0,0,0,0,0,0,0,0,,0,1,16,16.00,0,1,,0,,,1,1.6,2.1,1.1,,48,
Tom Thompson,SDG,RB,23,12,0,0,0,0,0,0,6,8,1.33,0,0,0,,0,0,,0,,,1,0.8,0.8,0.8,,150,
Terry Wells,HOU,RB,23,6,0,0,0,0,0,0,0,0,,0,1,9,9.00,0,0,,0,,,1,1.9,1.9,1.4,,149,
Mickey Zofko,2TM,RB,25,11,0,0,0,0,0,0,3,6,2.00,0,3,15,5.00,0,1,,0,,,1,4.1,4.6,2.6,,147,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Atkins,SFO,RB,25,1,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,,,,,,,,155,
Mike Bettiga,SFO,WR,24,10,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,,,,,,,,101,
T.C. Blair,DET,TE,23,11,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,,,,,,,,66,
Morris Bradshaw,OAK,WR,22,12,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,,,,,,,,102,
Boyd Brown,DEN,TE,22,14,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,,,,,,,,65,
Wes Chesson,PHI,WR,25,12,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,,,,,,,,103,
Henry Childs,2TM,TE,23,7,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,,,,,,,,64,
Don Clune,NYG,WR,22,4,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,,,,,,,,104,
Pat Curran,RAM,TE,29,13,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,,,,,,,,63,
Dave Davis,NOR,WR,26,7,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,,,,,,,,105,
Bill Demory,NYJ,QB,24,1,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,,,,,,,,61,
Wallace Francis,BUF,WR,23,14,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,,,,,,,,106,
Reuben Gant,BUF,TE,22,13,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,,,,,,,,62,
Len Garrett,NOR,TE,27,10,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,,,,,,,,61,
Reggie Garrett,PIT,WR,23,14,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,,,,,,,,107,
Tim George,CLE,WR,23,8,3,0,0,0,0,0,0,0,,0,0,0,,0,,,0,,,,,,,,108,
Noe Gonzalez,NWE,RB,23,2,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,,,,,,,,156,
