Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Joe Aska,OAK,RB,23,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,148,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Bailey,CIN,WR,24,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,153,
Michael Bates,CLE,RB,26,13,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,0,,,,,,,,149,
Tom Beer,DET,RB,26,16,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,150,
Fabien Bownes,CHI,WR,23,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,154,
Ben Bronson,IND,WR,23,9,0,0,0,0,0,0,0,0,,0,0,0,0,,0,2,,0,,,,,,,,155,
Reggie Brooks,WAS,RB,24,1,0,0,0,0,0,0,2,-2,-1.00,0,0,0,0,,0,0,,0,,,,-0.2,-0.2,-0.2,,164,
Jason Burns,CIN,RB,23,1,0,0,0,0,0,0,1,1,1.00,0,0,0,0,,0,0,,0,,,,0.1,0.1,0.1,,147,
Butler By'not'e,CAR,RB,23,7,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,151,
Mike Caldwell,SFO,WR,24,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,156,
Brett Carolan,SFO,TE,24,14,0,0,0,0,0,0,0,0,,0,3,1,3,3.00,0,0,,0,,,,1.3,1.3,0.8,,84,
Anthony Carter,DET,WR,35,3,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,,0,,,,,,,,157,
Pat Carter,STL,TE,29,16,6,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,86,
Curtis Ceaser,NYJ,WR,23,4,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,158,
Kirby Dar Dar,MIA,WR,23,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,159,
Billy Davis,DAL,WR,23,16,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,160,
Tyree Davis,TAM,WR,25,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,161,
Gary Downs,DEN,RB,23,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,152,
Jay Fiedler,PHI,QB,24,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,74,
David Frisch,NWE,TE,25,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,87,
Rupert Grant,NWE,RB,22,7,1,0,0,0,0,0,0,0,,0,2,1,4,4.00,0,0,,0,,,,1.4,1.4,0.9,,143,
David Green,NWE,RB,23,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,153,
Tracy Greene,PIT,TE,23,16,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,,0,,,,,,,,88,
Clif Groce,IND,FB,23,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,154,
Gary Harrell,NYG,WR,23,4,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,0,,,,,,,,162,
Raymont Harris,CHI,FB,25,1,1,0,0,0,0,0,0,0,,0,1,1,4,4.00,0,0,,0,,,,1.4,1.4,0.9,,144,
Ronnie Harris,SEA,WR,25,13,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,163,
Kevin Hickman,DET,TE,24,6,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,89,
Mark Higgs,ARI,RB,29,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,155,
Corey Holliday,PIT,WR,24,3,0,0,0,0,0,0,0,0,,0,8,0,0,,0,,,0,,,,,,,,164,
Ronald Humphrey,IND,RB,26,11,0,0,0,0,0,0,2,6,3.00,0,2,2,11,5.50,0,1,1,0,,,,1.7,2.7,0.7,,165,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Jenkins,WAS,TE,28,16,5,0,0,0,0,0,0,0,,0,2,1,2,2.00,0,0,,0,,,,1.2,1.2,0.7,,85,
Travis Jervey,GNB,RB,23,16,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,156,
Reggie Jones,CAR,WR,24,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,165,
Brian Kozlowski,NYG,TE,25,16,0,0,0,0,0,0,0,0,,0,3,2,17,8.50,0,1,1,0,,,,1.7,2.7,0.7,,102,
Nate Lewis,CHI,WR,29,11,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,166,
Harper LeBel,ATL,TE,32,16,0,0,0,0,0,0,0,0,,0,,0,0,,0,1,,0,,,,,,,,90,
Eric Lynch,DET,RB,25,4,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,157,
Deems May,SDG,TE,26,5,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,91,
Kez McCorvey,DET,WR,23,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,167,
Dan McGwire,MIA,QB,28,1,0,0,1,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,76,
Thomas McLemore,IND,TE,25,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,92,
Jim McMahon,GNB,QB,36,1,0,1,1,6,0,0,0,0,,0,0,0,0,,0,0,,0,,,,0.2,0.2,0.2,,72,
Dexter McNabb,PHI,FB,26,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,158,
Ron Middleton,SDG,TE,30,3,1,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,93,
Bobby Olive,IND,WR,26,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,168,
Brian O'Neal,SFO,FB,25,3,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,159,
Dino Philyaw,CAR,RB,25,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,160,
Joe Planansky,MIA,TE,24,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,94,
Marcus Pollard,IND,TE,23,8,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,95,
Andre President,2TM,TE,24,3,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,96,
