Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Ron Hall,TAM,TE,26,16,16,0,0,0,0,0,0,0,,0,31,464,14.97,2,0,,2,,,58,89.4,92.4,73.9,1,11,74
Jay Schroeder,RAI,QB,29,16,16,182,334,2849,19,9,37,81,2.19,0,0,0,,0,11,,0,,,169,169.1,186.6,178.1,,12,75
Vinny Testaverde,TAM,QB,27,14,13,203,365,2818,17,18,38,280,7.37,1,1,3,3.00,0,10,,1,,,169,170.0,199.0,187.5,,13,76
Jim Harbaugh,CHI,QB,27,14,14,180,312,2178,10,6,51,321,6.29,4,0,0,,0,8,,4,,,163,163.2,179.2,169.2,,14,77
Bubby Brister,PIT,QB,28,16,16,223,387,2725,20,14,25,64,2.56,0,0,0,,0,9,,0,,,158,158.4,179.9,172.4,,15,78
Chris Miller,ATL,QB,25,12,12,222,388,2735,17,14,26,99,3.81,1,0,0,,0,11,,1,,,154,154.3,176.8,168.3,,16,
Ken O'Brien,NYJ,QB,30,16,16,226,411,2855,13,10,21,72,3.43,0,0,0,,0,5,,0,,,148,148.4,163.9,158.4,,18,
Phil Simms,NYG,QB,35,14,14,184,311,2284,15,4,21,61,2.90,1,0,0,,0,7,,1,,,148,148.5,159.0,152.5,,17,
Rich Gannon,MIN,QB,25,14,12,182,349,2278,16,16,52,268,5.15,1,0,0,,0,10,,1,,,146,145.9,172.9,161.9,,19,
Dave Krieg,SEA,QB,32,16,16,265,448,3194,15,20,32,115,3.59,0,1,-6,-6.00,0,16,,0,,,143,143.7,177.7,163.2,,20,
Billy Joe Tolliver,SDG,QB,24,15,14,216,410,2574,16,16,14,22,1.57,0,0,0,,0,6,,0,,,131,131.2,153.2,147.2,,21,
Troy Aikman,DAL,QB,24,15,15,226,399,2579,11,18,40,172,4.30,1,0,0,,0,5,,1,,,129,129.4,155.9,147.4,,22,
Jeff George,IND,QB,23,13,12,181,334,2152,16,13,11,2,0.18,1,0,0,,0,4,,1,,,126,126.3,144.3,139.3,,23,
Barry Word,KAN,RB,27,16,3,0,0,0,0,0,204,1015,4.98,4,4,28,7.00,0,4,,4,,,124,128.3,133.3,126.3,,24,
Mark Rypien,WAS,QB,28,10,10,166,304,2070,16,11,15,4,0.27,0,0,0,,0,2,,0,,,123,123.2,138.2,134.2,,24,
Christian Okoye,KAN,FB,29,14,13,0,0,0,0,0,245,805,3.29,7,4,23,5.75,0,6,,7,,,119,122.8,128.8,120.8,,25,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Majkowski,GNB,QB,26,9,8,150,264,1925,10,12,29,186,6.41,1,0,0,,0,6,,1,,,112,111.6,132.6,123.6,,25,
John Stephens,NWE,RB,24,16,14,0,1,0,0,1,212,808,3.81,2,28,196,7.00,1,5,,3,,,111,139.4,148.9,126.4,,26,
Irving Fryar,NWE,WR,28,16,15,0,0,0,0,0,2,-4,-2.00,0,54,856,15.85,4,1,,4,,,108,162.2,165.7,135.2,,30,
Bernie Kosar,CLE,QB,27,13,13,230,423,2562,10,15,10,13,1.30,0,0,0,,0,6,,0,,,108,107.8,128.8,122.8,,26,
Richard Johnson,DET,WR,29,16,16,0,0,0,0,0,0,0,,0,64,727,11.36,6,2,,6,,,107,170.7,174.7,138.7,,31,
Mark Carrier,TAM,WR,25,16,16,0,0,0,0,0,0,0,,0,49,813,16.59,4,0,,4,,,105,154.3,157.3,129.8,,32,
Ricky Proehl,PHO,WR,22,16,2,0,0,0,0,0,1,4,4.00,0,56,802,14.32,4,0,,4,,,105,160.6,163.6,132.6,,33,
Tom Rathman,SFO,FB,28,16,16,0,0,0,0,0,101,318,3.15,7,48,327,6.81,0,2,,7,,,105,152.5,159.5,128.5,,28,
Heath Sherman,PHI,RB,23,14,6,0,0,0,0,0,164,685,4.18,1,23,167,7.26,3,4,,4,,,105,128.2,136.2,116.7,,27,
Roy Green,PHO,WR,33,16,16,1,1,20,0,0,0,0,,0,53,797,15.04,4,1,,4,,,104,156.5,160.0,130.0,,35,
Bo Jackson*,RAI,RB,28,10,0,0,0,0,0,0,125,698,5.58,5,6,68,11.33,0,3,,5,,,104,109.6,114.1,106.6,,31,
Rueben Mayes,NOR,RB,27,15,8,0,0,0,0,0,138,510,3.70,7,12,121,10.08,0,1,,7,,,104,116.1,122.6,110.1,,29,
Freeman McNeil,NYJ,RB,31,16,4,0,0,0,0,0,99,458,4.63,6,16,230,14.38,0,1,,6,,,104,119.8,126.3,111.8,,30,
Rob Moore,NYJ,WR,22,15,13,0,0,0,0,0,2,-4,-2.00,0,44,692,15.73,6,1,,6,,,104,147.8,151.3,125.8,,34,
Eric Dickerson,IND,RB,30,11,8,0,0,0,0,0,166,677,4.08,4,18,92,5.11,0,0,,4,,,101,118.9,121.9,109.9,,32,
Tommy Kane,SEA,WR,26,16,11,0,0,0,0,0,0,0,,0,52,776,14.92,4,1,,4,,,101,152.6,156.1,126.6,,36,
Ernie Jones,PHO,WR,26,15,8,0,0,0,0,0,4,33,8.25,0,43,724,16.84,4,0,,4,,,100,142.7,145.7,121.2,,37,
Steve Walsh,2TM,QB,24,13,11,179,336,2010,12,13,20,25,1.25,0,0,0,,0,6,,0,,,99,98.9,117.9,111.9,,27,
Ronnie Harmon,SDG,RB,26,16,2,0,0,0,0,0,66,363,5.50,0,46,511,11.11,2,1,,2,,,98,144.4,150.9,121.4,,33,
Buford McGee,RAM,FB,30,16,15,2,2,23,1,0,44,234,5.32,1,47,388,8.26,4,0,,5,,,97,144.1,150.1,120.6,,34,
Rodney Hampton,NYG,RB,21,15,2,0,0,0,0,0,109,455,4.17,2,32,274,8.56,2,2,,4,,,95,126.9,133.9,110.9,,35,
James Lofton,BUF,WR,34,16,14,0,0,0,0,0,0,0,,0,35,712,20.34,4,0,,4,,,95,130.2,133.2,112.7,,38,
Bruce Hill,TAM,WR,26,13,13,0,0,0,0,0,1,0,0.00,0,42,641,15.26,5,0,,5,,,94,136.1,139.1,115.1,,39,
Mike Rozier,2TM,RB,29,16,5,0,0,0,0,0,163,717,4.40,3,13,105,8.08,0,6,,3,,,94,107.2,116.2,100.7,,36,
Brad Baxter,NYJ,FB,23,16,10,0,0,0,0,0,124,539,4.35,6,8,73,9.13,0,4,,6,,,93,101.2,106.2,97.2,,37,
Vance Johnson,DEN,WR,27,16,13,0,0,0,0,0,0,0,,0,54,747,13.83,3,1,,3,,,92,145.7,149.2,118.7,,41,
Ricky Sanders,WAS,WR,30,16,6,0,0,0,0,0,4,17,4.25,0,56,727,12.98,3,0,,3,,,92,148.4,151.4,120.4,,40,
Craig Heyward,NOR,FB,24,16,15,0,1,0,0,1,129,599,4.64,4,18,121,6.72,0,3,,4,,,91,109.0,117.5,101.0,,39,
Blair Thomas,NYJ,RB,23,15,11,0,0,0,0,0,123,620,5.04,1,20,204,10.20,1,3,,2,,,91,111.4,118.9,101.4,,38,
Gerald Riggs,WAS,RB,30,10,0,0,0,0,0,0,123,475,3.86,6,7,60,8.57,0,2,,6,,,88,94.5,98.5,91.0,,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Metcalf,CLE,RB,22,16,10,0,0,0,0,0,80,248,3.10,1,57,452,7.93,1,8,,4,,,86,143.0,153.0,114.5,,41,
