Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Derek Brown,NOR,RB,23,16,9,0,0,0,0,0,146,489,3.35,3,57,44,428,9.73,1,4,3,4,,,110,153.7,162.7,131.7,,31,
Reggie Cobb,GNB,RB,26,16,13,0,0,0,0,0,153,579,3.78,3,51,35,299,8.54,1,1,1,4,,,110,144.8,151.8,127.3,,30,
Eric Metcalf*,CLE,RB,26,16,8,0,1,0,0,0,93,329,3.54,2,85,47,436,9.28,3,6,5,7,,,109,155.5,166.5,132.0,,32,
Steve Walsh,CHI,QB,28,12,11,208,343,2078,10,8,30,4,0.13,1,0,0,0,,0,7,3,1,,,108,107.5,121.5,115.5,,24,
Desmond Howard,WAS,WR,24,16,15,0,0,0,0,0,1,4,4.00,0,103,40,727,18.18,5,0,,5,1,,105,145.1,148.1,125.1,,31,
Gary Brown,HOU,RB,25,12,8,0,0,0,0,0,169,648,3.83,4,32,18,194,10.78,1,6,6,5,1,,104,122.2,134.2,113.2,,33,
Torrance Small,NOR,WR,24,16,0,0,0,0,0,0,0,0,,0,74,49,719,14.67,5,0,,5,1,,104,152.9,155.9,128.4,,32,
Charles Wilson,TAM,WR,26,14,7,0,0,0,0,0,2,15,7.50,0,62,31,652,21.03,6,0,,6,,,103,133.7,136.7,118.2,,33,
Sean Dawkins,IND,WR,23,16,16,0,0,0,0,0,0,0,,0,99,51,742,14.55,5,1,1,5,,,102,153.2,157.2,127.7,,34,
Jim Harbaugh,IND,QB,31,12,9,125,202,1440,9,6,39,223,5.72,0,0,0,0,,0,1,1,0,,,102,101.9,114.9,107.9,,25,
Derrick Alexander,CLE,WR,23,14,12,0,0,0,0,0,4,38,9.50,0,82,48,828,17.25,2,2,,2,1,,101,148.6,151.6,124.6,,35,
Mark Seay,SDG,WR,27,16,14,0,0,0,0,0,0,0,,0,108,58,645,11.12,6,0,,6,,,101,158.5,161.5,129.5,,36,
Dave Meggett,NYG,RB,28,16,3,1,2,16,1,0,91,298,3.27,4,40,32,293,9.16,0,6,,6,,,100,131.7,137.7,115.7,,34,
Calvin Williams,PHI,WR,27,16,14,0,0,0,0,0,2,11,5.50,0,111,58,813,14.02,3,0,,3,,,100,158.4,161.4,129.4,,37,
Mario Bates,NOR,RB,21,11,7,0,0,0,0,0,151,579,3.83,6,9,8,62,7.75,0,3,1,6,,,98,106.1,110.1,102.1,,35,
Qadry Ismail,MIN,WR,24,16,3,0,0,0,0,0,0,0,,0,82,45,696,15.47,5,2,2,5,,,96,140.6,145.6,118.1,,38,
Ricky Proehl,ARI,WR,26,16,16,0,0,0,0,0,0,0,,0,105,51,651,12.76,5,2,,5,,,95,146.1,149.1,120.6,,39,
Kimble Anders,KAN,FB,28,16,13,0,0,0,0,0,62,231,3.73,2,93,67,525,7.84,1,1,,3,,,94,160.6,166.6,127.1,,36,
Robert Brooks,GNB,WR,24,16,16,0,0,0,0,0,1,0,0.00,0,92,58,648,11.17,4,4,4,6,,,93,150.8,157.8,121.8,,41,
