Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
R.J. Bowers,CLE,RB,29,1,0,0,0,0,0,0,0,0,,0,2,1,2,2.00,1,0,,1,,,6,7.2,7.2,6.7,,128,
Avon Cobourne,DET,RB,24,7,0,0,0,0,0,0,10,27,2.70,0,9,4,30,7.50,0,0,,0,,,6,9.7,9.7,7.7,,130,
Eddie Drummond,DET,WR,23,6,0,0,0,0,0,0,1,1,1.00,0,0,0,0,,0,1,,1,,,6,6.1,6.1,6.1,,141,
Heath Evans,SEA,FB,25,14,0,0,0,0,0,0,7,24,3.43,0,2,2,34,17.00,0,0,,0,,,6,7.8,7.8,6.8,,129,
Ryan Neufeld,BUF,TE,28,16,1,0,0,0,0,0,1,14,14.00,0,5,3,41,13.67,0,0,,0,,,6,8.5,8.5,7.0,,73,
Dave Ragone,HOU,QB,24,2,2,20,40,135,0,1,6,51,8.50,0,1,1,-5,-5.00,0,4,1,0,,,6,7.0,9.0,7.5,,59,
Walter Rasby,NOR,TE,31,16,7,0,0,0,0,0,0,0,,0,7,6,55,9.17,0,0,,0,,,6,11.5,11.5,8.5,,74,
Sage Rosenfels,MIA,QB,25,2,0,4,6,50,1,0,1,-1,-1.00,0,0,0,0,,0,0,,0,,,6,5.9,5.9,5.9,,60,
Lamar Smith,NOR,RB,33,4,0,0,0,0,0,0,11,61,5.55,0,1,1,2,2.00,0,0,,0,,,6,7.3,7.3,6.8,,127,
Randal Williams,DAL,WR,25,15,0,0,0,0,0,0,0,0,,0,3,0,0,,0,0,,1,,,6,6.0,6.0,6.0,,142,
Obafemi Ayanbadejo,MIA,RB,28,16,2,0,0,0,0,0,1,-2,-2.00,0,13,12,53,4.42,0,1,,0,,,5,17.1,17.1,11.1,,131,
Travis Brown,BUF,QB,26,2,0,14,18,160,0,1,1,5,5.00,0,0,0,0,,0,0,,0,,,5,4.9,5.9,5.9,,61,
Oronde Gadsden,MIA,WR,32,6,0,0,0,0,0,0,0,0,,0,9,4,48,12.00,0,0,,0,,,5,8.8,8.8,6.8,,147,
Hunter Goodwin,MIN,TE,31,16,5,0,0,0,0,0,0,0,,0,5,4,26,6.50,0,0,,0,1,,5,8.6,8.6,6.6,,77,
Shawn Jefferson,DET,WR,34,7,3,0,0,0,0,0,1,3,3.00,0,11,6,46,7.67,0,0,,0,,,5,10.9,10.9,7.9,,146,
