player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Billy Masters,DEN,TE,28.0,14,14,0,0,0,0,0,3,-15,-5.0,0,25,393,15.72,3,1,0,3,0.0,0.0,55.0,79.8,83.3,67.3,0.0,12.0,0.0
Lance Rentzel,RAM,WR,29.0,14,14,0,0,0,0,0,7,71,10.14,1,27,365,13.52,1,1,0,2,0.0,0.0,55.0,81.6,85.1,68.1,0.0,35.0,0.0
Mel Farr,DET,FB,28.0,10,4,0,0,0,0,0,62,216,3.48,3,10,132,13.2,0,0,0,3,0.0,0.0,53.0,62.8,68.8,57.8,0.0,55.0,0.0
Charlie Sanders,DET,TE,26.0,9,8,0,0,0,0,0,0,0,0.0,0,27,416,15.41,2,1,0,2,0.0,0.0,53.0,79.6,83.1,66.1,0.0,13.0,0.0
Dave Williams,SDG,WR,27.0,12,6,0,0,0,0,0,1,14,14.0,0,14,315,22.5,3,0,0,3,0.0,0.0,51.0,64.9,67.9,57.9,0.0,36.0,0.0
George Farmer,CHI,WR,24.0,14,14,0,0,0,0,0,2,-13,-6.5,0,14,380,27.14,2,0,0,2,0.0,0.0,49.0,62.7,65.7,55.7,0.0,38.0,0.0
Randy Vataha,NWE,WR,24.0,14,14,0,0,0,0,0,0,0,0.0,0,25,369,14.76,2,0,0,2,0.0,0.0,49.0,73.9,76.9,61.4,0.0,37.0,0.0
Willie Frazier,KAN,TE,30.0,14,7,0,0,0,0,0,0,0,0.0,0,13,172,13.23,5,0,0,5,0.0,0.0,47.0,60.2,63.2,53.7,0.0,14.0,0.0
Johnny Unitas,BAL,QB,39.0,8,5,88,157,1111,4,6,3,15,5.0,0,0,0,0.0,0,3,0,0,0.0,0.0,47.0,46.9,57.4,52.9,0.0,28.0,0.0
Ed Marinaro,MIN,FB,22.0,10,6,0,0,0,0,0,66,223,3.38,0,28,218,7.79,1,4,0,1,0.0,0.0,46.0,74.1,82.1,60.1,0.0,56.0,0.0
Don Shy,CHI,RB,27.0,13,7,0,0,0,0,0,91,342,3.76,1,10,109,10.9,0,5,0,1,0.0,0.0,46.0,56.1,64.6,51.1,0.0,57.0,0.0
Mike Livingston,KAN,QB,27.0,5,2,41,78,480,7,8,14,133,9.5,0,0,0,0.0,0,0,0,0,0.0,0.0,45.0,44.5,58.5,52.5,0.0,29.0,0.0
Lydell Mitchell,BAL,RB,23.0,11,1,0,0,0,0,0,45,215,4.78,1,18,147,8.17,1,3,0,2,0.0,0.0,45.0,63.2,70.7,54.2,0.0,59.0,0.0
Cyril Pinder,CHI,RB,26.0,13,7,0,0,0,0,0,87,300,3.45,3,1,13,13.0,0,4,0,3,0.0,0.0,45.0,46.3,51.3,45.8,0.0,58.0,0.0
