Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Jim Plunkett,RAI,QB,37,8,6,108,198,1473,6,10,16,14,0.88,1,0,0,,0,2,,1,,,68,68.3,82.3,78.3,,31,
Lin Dawson,NWE,TE,25,16,15,0,0,0,0,0,0,0,,0,39,427,10.95,4,0,,4,,,67,105.7,108.7,86.2,,15,
Ken Jenkins,DET,RB,25,14,3,0,1,0,0,0,78,358,4.59,1,21,246,11.71,0,0,,1,,,66,87.4,93.4,76.9,,60,
Tony Woodruff,PHI,WR,26,16,6,0,0,0,0,0,0,0,,0,30,484,16.13,3,0,,3,,,66,96.4,99.4,81.4,,52,
Clint Didier,WAS,TE,25,11,2,0,0,0,0,0,0,0,,0,30,350,11.67,5,0,,5,,,65,95.0,98.0,80.0,,16,
Earnest Gray,NYG,WR,27,12,11,0,0,0,0,0,0,0,,0,38,529,13.92,2,0,,2,,,65,102.9,105.9,83.9,,53,
Buford McGee,SDG,RB,24,16,0,0,0,0,0,0,67,226,3.37,4,9,76,8.44,2,1,,6,,,65,74.2,77.7,69.7,,61,
Ken O'Brien,NYJ,QB,24,10,5,116,203,1402,6,7,16,29,1.81,0,0,0,,0,4,,0,,,65,65.0,77.0,72.0,,33,
David Woodley,PIT,QB,26,7,7,85,156,1273,8,7,11,14,1.27,0,0,0,,0,5,,0,,,65,65.3,77.8,72.3,,32,
Jerry Bell,TAM,TE,25,16,11,0,0,0,0,0,0,0,,0,29,397,13.69,4,0,,4,,,64,92.7,95.7,78.2,,17,
Duriel Harris,2TM,WR,30,16,11,0,0,0,0,0,0,0,,0,33,521,15.79,2,0,,2,,,64,97.1,100.1,80.6,,54,
Brian Brennan,CLE,WR,22,15,5,0,0,0,0,0,0,0,,0,35,455,13.00,3,1,,3,,,63,97.5,101.0,80.0,,56,
Drew Hill,RAM,WR,28,16,16,0,0,0,0,0,0,0,,0,14,390,27.86,4,0,,4,,,63,77.0,80.0,70.0,,55,
Tony Paige,NYJ,RB,22,16,2,0,0,0,0,0,35,130,3.71,7,6,31,5.17,1,1,,8,,,63,69.1,72.6,66.1,,62,
Phil Epps,GNB,WR,26,16,4,0,0,0,0,0,0,0,,0,26,435,16.73,3,1,,3,,,61,86.5,90.0,73.5,,58,
Dan Johnson,MIA,TE,24,16,16,0,0,0,0,0,0,0,,0,34,426,12.53,3,0,,3,,,61,94.6,97.6,77.6,,19,
Dennis McKinnon,CHI,WR,23,12,12,0,0,0,0,0,2,12,6.00,0,29,431,14.86,3,1,,3,,,61,90.3,93.8,75.8,,57,
Eric Sievers,SDG,TE,27,14,13,0,0,0,0,0,0,0,,0,41,438,10.68,3,1,,3,,,61,101.8,105.3,81.3,,18,
Doug Donley,DAL,WR,25,15,9,0,0,0,0,0,2,5,2.50,0,32,473,14.78,2,0,,2,,,60,91.8,94.8,75.8,,59,
Steve Jordan,MIN,TE,23,14,14,0,0,0,0,0,1,4,4.00,1,38,414,10.89,2,0,,3,,,60,97.8,100.8,78.8,,20,
Ed Luther,SDG,QB,27,15,3,83,151,1163,5,3,4,11,2.75,0,0,0,,0,2,,0,,,60,59.6,66.6,62.6,,34,
Byron Williams,NYG,WR,24,16,0,0,0,0,0,0,0,0,,0,24,471,19.63,2,0,,2,,,59,83.1,86.1,71.1,,60,
Joe Carter,MIA,RB,22,13,2,0,0,0,0,0,100,495,4.95,1,8,53,6.63,0,3,,1,,,58,65.8,70.3,61.8,,63,
Frank Hawkins,RAI,RB,25,16,0,0,0,0,0,0,108,376,3.48,3,7,51,7.29,0,3,,3,,,58,64.7,69.2,61.2,,64,
Joe Pisarcik,PHI,QB,32,7,3,96,176,1036,3,3,7,19,2.71,2,0,0,,0,4,,2,,,57,57.3,65.3,60.3,,35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Hardy,MIA,TE,28,16,5,0,0,0,0,0,0,0,,0,28,257,9.18,5,0,,5,,,56,83.7,86.7,69.7,,21,
Emery Moorehead,CHI,TE,30,16,9,0,0,0,0,0,1,-2,-2.00,0,29,497,17.14,1,0,,1,,,56,84.5,87.5,70.0,,22,
Billy Johnson,ATL,WR,32,6,0,0,0,0,0,0,3,8,2.67,0,24,371,15.46,3,1,,3,,,55,78.9,82.4,66.9,,61,
David Hughes,SEA,FB,25,16,6,0,0,0,0,0,94,327,3.48,1,22,121,5.50,1,4,,2,,,53,74.8,82.8,63.8,,65,
Lynn Cain,ATL,RB,29,15,2,0,0,0,0,0,77,276,3.58,3,12,87,7.25,0,2,,3,,,52,64.3,68.3,58.3,,66,
Lam Jones,NYJ,WR,26,8,8,0,0,0,0,0,0,0,,0,32,470,14.69,1,1,,1,,,52,84.0,87.5,68.0,,62,
Turk Schonert,CIN,QB,27,8,3,78,117,945,4,7,13,77,5.92,1,0,0,,0,2,,1,,,52,51.5,62.5,58.5,,36,
Earl Ferrell,STL,FB,26,16,9,0,0,0,0,0,44,203,4.61,1,26,218,8.38,1,3,,2,,,51,77.1,84.6,64.1,,67,
Steve Fuller,CHI,QB,27,6,4,53,78,595,3,0,15,89,5.93,1,0,0,,0,0,,1,,,51,50.7,53.7,50.7,,37,
Adger Armstrong,TAM,FB,27,15,9,0,0,0,0,0,10,34,3.40,2,22,180,8.18,3,1,,5,,,50,72.4,75.9,61.4,,68,
Arthur Cox,ATL,TE,23,16,16,0,0,0,0,0,0,0,,0,34,329,9.68,3,1,,3,,,50,83.9,87.4,66.9,,23,
Chris Dressel,HOU,TE,23,16,16,0,0,0,0,0,0,0,,0,40,378,9.45,2,1,,2,,,49,88.8,92.3,68.8,,24,
Jeff Groth,NOR,WR,27,16,13,0,0,0,0,0,0,0,,0,33,487,14.76,0,0,,0,,,49,81.7,84.7,65.2,,63,
Frank Middleton,IND,RB,24,16,5,0,0,0,0,0,92,275,2.99,1,15,112,7.47,1,2,,2,,,49,63.7,70.7,56.2,,69,
Renaldo Nehemiah,SFO,WR,25,16,0,0,0,0,0,0,0,0,,0,18,357,19.83,2,0,,2,,,48,65.7,68.7,56.7,,64,
Eugene Goodlow,NOR,WR,26,10,6,0,0,0,0,0,1,5,5.00,0,22,281,12.77,3,0,,3,,,47,68.6,71.6,57.6,,65,
Ken Lacy,KAN,RB,24,15,4,0,0,0,0,0,46,165,3.59,2,13,87,6.69,2,2,,4,,,47,60.2,64.2,53.7,,70,
Dwayne Crutchfield,RAM,RB,25,15,0,0,0,0,0,0,73,337,4.62,1,2,11,5.50,1,1,,2,,,46,47.8,51.3,46.8,,72,
Stan Edwards,HOU,RB,24,14,1,0,0,0,0,0,60,267,4.45,1,20,151,7.55,0,2,,1,,,46,65.8,72.8,55.8,,73,
Tony Galbreath,NYG,RB,30,16,0,1,1,13,0,0,22,97,4.41,0,37,357,9.65,0,0,,0,,,46,82.9,85.9,64.4,,71,
Kenny Jackson,PHI,WR,22,11,9,0,0,0,0,0,0,0,,0,26,398,15.31,1,0,,1,,,46,71.8,74.8,58.8,,67,
Weegie Thompson,PIT,WR,23,16,7,0,0,0,0,0,0,0,,0,17,291,17.12,3,1,,3,,,46,63.1,66.6,54.6,,66,
Tony Hunter,BUF,TE,24,11,9,0,0,0,0,0,1,6,6.00,0,33,331,10.03,2,1,,2,,,45,77.7,81.2,61.2,,25,
Sammy White,MIN,WR,30,13,11,0,0,0,0,0,0,0,,0,21,399,19.00,1,1,,1,,,45,65.9,69.4,55.4,,68,
Ricky Feacher,CLE,WR,30,16,3,0,0,0,0,0,0,0,,0,22,382,17.36,1,0,,1,,,44,66.2,69.2,55.2,,69,
Jimmie Giles,TAM,TE,30,14,14,0,0,0,0,0,0,0,,0,24,310,12.92,2,0,,2,,,43,67.0,70.0,55.0,,27,
