player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Ron Sellers,BOS,WR,23.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,38.0,550.0,14.47,4.0,0.0,,4.0,,,79.0,117.0,120.0,98.0,16.0,18.0,49.0
Hewritt Dixon*,OAK,FB,30.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,197.0,861.0,4.37,1.0,31.0,207.0,6.68,1.0,6.0,,2.0,,,113.0,143.8,152.8,128.3,14.0,16.0,50.0
Al Denson,DEN,WR,28.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,47.0,646.0,13.74,2.0,0.0,,2.0,,,77.0,123.6,126.6,100.1,14.0,19.0,51.0
Duane Thomas,DAL,RB,23.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,151.0,803.0,5.32,5.0,10.0,73.0,7.3,0.0,6.0,,5.0,,,112.0,121.6,127.6,116.6,13.0,17.0,52.0
Charlie Smith,OAK,RB,24.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,168.0,681.0,4.05,3.0,23.0,173.0,7.52,2.0,4.0,,5.0,,,111.0,134.4,142.4,122.9,13.0,18.0,53.0
Altie Taylor,DET,RB,23.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,198.0,666.0,3.36,2.0,27.0,261.0,9.67,2.0,6.0,,4.0,,,111.0,137.7,146.7,124.2,12.0,19.0,54.0
Alvin Reed,HOU,TE,26.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,47.0,604.0,12.85,2.0,1.0,,2.0,,,71.0,118.4,121.9,94.9,12.0,9.0,55.0
Jim Whalen,DEN,TE,27.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,36.0,503.0,13.97,3.0,1.0,,3.0,,,67.0,103.3,106.8,85.3,8.0,10.0,56.0
Craig Morton,DAL,QB,27.0,12.0,11.0,102.0,207.0,1819.0,15.0,7.0,16.0,37.0,2.31,0.0,0.0,0.0,,0.0,1.0,,0.0,,,121.0,121.5,132.0,128.5,7.0,9.0,57.0
Milt Morin,CLE,TE,28.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,37.0,611.0,16.51,1.0,1.0,,1.0,,,66.0,103.3,106.8,84.8,7.0,11.0,58.0
