Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Billy Ryckman,ATL,WR,23,16,15,0,0,0,0,0,0,0,,0,45,679,15.09,2,4,,2,,,76,120.9,125.9,98.4,,33,
Cliff Branch,OAK,WR,30,16,16,0,0,0,0,0,0,0,,0,49,709,14.47,1,2,,1,,,75,123.9,127.9,99.4,,34,
Bill Troup,BAL,QB,27,12,11,154,296,1882,10,21,18,25,1.39,1,0,0,,0,7,,1,,,75,74.8,102.3,95.8,,24,
Ken Burrough,HOU,WR,30,16,16,0,1,0,0,0,3,-11,-3.67,0,47,624,13.28,2,0,,2,,,73,120.3,123.3,96.8,,35,
Larry Csonka,NYG,FB,32,14,12,0,0,0,0,0,91,311,3.42,6,7,73,10.43,0,1,,6,,,73,80.4,83.9,76.9,,58,
Jim Robinson,NYG,WR,25,16,16,0,0,0,0,0,0,0,,0,32,620,19.38,2,1,,2,,,73,105.0,108.5,89.0,,36,
Freddie Scott,DET,WR,26,16,13,0,0,0,0,0,4,53,13.25,0,37,564,15.24,2,1,,2,,,73,109.7,113.2,91.2,,37,
Dave Stief,STL,WR,22,15,3,1,1,43,0,0,1,-8,-8.00,0,24,477,19.88,4,0,,4,,,73,96.6,99.6,84.6,,38,
Sam McCullum,SEA,WR,26,16,16,0,0,0,0,0,0,0,,0,37,525,14.19,3,0,,3,,,71,107.5,110.5,89.0,,39,
Danny Buggs,WAS,WR,25,13,11,0,0,0,0,0,0,0,,0,36,575,15.97,2,0,,2,,,70,105.5,108.5,87.5,,41,
Johnny Perkins,NYG,WR,25,14,13,0,0,0,0,0,1,3,3.00,0,32,514,16.06,3,0,,3,,,70,101.7,104.7,85.7,,40,
Bob Avellini,CHI,QB,25,13,12,141,264,1718,5,16,34,54,1.59,2,0,0,,0,5,,2,,,69,69.1,90.6,85.1,,25,
