Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Tom Rathman,SFO,RB,31,8,4,0,0,0,0,0,19,80,4.21,3,14,10,86,8.60,0,0,,3,,,35,44.6,44.6,39.6,,75,
Corey Croom,NWE,RB,22,14,1,0,0,0,0,0,60,198,3.30,1,18,8,92,11.50,0,1,,1,,,34,42.0,45.5,38.0,,76,
Todd Philcox,CLE,QB,27,5,4,52,108,699,4,7,2,3,1.50,1,,0,0,,0,2,,1,,,34,34.3,45.3,41.3,,42,
Nick Bell,RAI,RB,25,10,3,0,0,0,0,0,67,180,2.69,1,15,11,111,10.09,0,2,,1,,,33,44.1,51.1,38.6,,78,
Ron Hall,TAM,TE,29,16,16,0,0,0,0,0,0,0,,0,48,23,268,11.65,1,0,,1,,,33,55.8,58.8,44.3,,22,
Craig Heyward,CHI,FB,27,16,14,0,0,0,0,0,68,206,3.03,0,21,16,132,8.25,0,1,,0,,,33,48.8,55.3,40.8,,79,
Steve Smith,RAI,FB,29,16,13,0,0,0,0,0,47,156,3.32,0,23,18,187,10.39,0,1,,0,,,33,51.3,57.8,42.3,,77,
Yancey Thigpen,PIT,WR,24,12,0,0,0,0,0,0,0,0,,0,12,9,154,17.11,3,0,,3,,,33,42.4,45.4,37.9,,80,
Jack Trudeau,IND,QB,31,5,5,85,162,992,2,7,5,3,0.60,0,,0,0,,0,2,,0,,,32,32.0,43.0,39.0,,43,
Vince Evans,RAI,QB,38,8,1,45,76,640,3,4,14,51,3.64,0,,0,0,,0,4,,0,,,31,30.7,39.7,34.7,,44,
Blair Thomas,NYJ,RB,26,11,5,0,0,0,0,0,59,221,3.75,1,11,7,25,3.57,0,0,,1,,,31,37.6,40.6,34.1,,80,
Lamar Thomas,TAM,WR,23,14,2,0,0,0,0,0,0,0,,0,26,8,186,23.25,2,0,,2,,,31,38.6,41.6,34.6,,81,
Mike Young,PHI,WR,31,10,0,0,0,0,0,0,0,0,,0,28,14,186,13.29,2,0,,2,,,31,44.6,47.6,37.6,,82,
Ricky Ervins,WAS,RB,25,15,1,0,0,0,0,0,50,201,4.02,0,20,16,123,7.69,0,2,,0,,,30,46.4,53.4,38.4,,81,
Garrison Hearst,PHO,RB,22,6,5,0,1,0,0,1,76,264,3.47,1,9,6,18,3.00,0,2,,1,,,30,36.2,41.2,34.2,,82,
Desmond Howard,WAS,WR,23,16,5,0,0,0,0,0,2,17,8.50,0,52,23,286,12.43,0,0,,0,,,30,53.3,56.3,41.8,,83,
Cedric Tillman,DEN,WR,23,14,3,0,0,0,0,0,0,0,,0,30,17,193,11.35,2,1,,2,,,30,47.3,50.8,38.8,,84,
Cary Conklin,WAS,QB,25,4,2,46,87,496,4,3,2,-2,-1.00,0,,0,0,,0,1,,0,,,29,28.6,35.1,31.6,,45,
Russell Copeland,BUF,WR,22,16,2,0,0,0,0,0,0,0,,0,17,13,242,18.62,0,1,,1,,,29,42.2,45.7,35.7,,85,
Sam Gash,NWE,FB,24,15,4,0,0,0,0,0,48,149,3.10,1,17,14,93,6.64,0,1,,1,,,29,43.2,46.7,36.2,,83,
Reggie Johnson,DEN,TE,25,13,12,0,0,0,0,0,0,0,,0,34,20,243,12.15,1,1,,1,,,29,49.3,52.8,39.3,,23,
Napoleon McCallum,RAI,RB,30,13,1,0,0,0,0,0,37,114,3.08,3,3,2,5,2.50,0,1,,3,,,29,30.9,34.4,29.9,,84,
Greg McMurtry,NWE,WR,26,14,8,0,0,0,0,0,0,0,,0,52,22,241,10.95,1,1,,1,,,29,51.1,54.6,40.1,,86,
Irv Smith,NOR,TE,22,16,8,0,0,0,0,0,0,0,,0,32,16,180,11.25,2,1,,2,,,29,45.0,48.5,37.0,,24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qadry Ismail,MIN,WR,23,15,3,0,0,0,0,0,3,14,4.67,0,35,19,212,11.16,1,1,,1,,,28,46.6,50.1,37.1,,87,
Steve Broussard,ATL,RB,26,8,0,0,0,0,0,0,39,206,5.28,1,2,1,4,4.00,0,0,,1,,,27,28.0,31.0,27.5,,86,
Lincoln Coleman,DAL,FB,24,7,0,0,0,0,0,0,34,132,3.88,2,4,4,24,6.00,0,1,,2,,,27,30.6,34.1,28.6,,87,
O.J. McDuffie,MIA,WR,24,16,0,0,0,0,0,0,1,-4,-4.00,0,36,19,197,10.37,0,4,,2,,,27,46.3,51.3,36.8,,88,
Ron Middleton,WAS,TE,28,16,16,0,0,0,0,0,0,0,,0,39,24,154,6.42,2,0,,2,,,27,51.4,54.4,39.4,,25,
John Stephens,2TM,RB,27,12,5,0,0,0,0,0,54,191,3.54,1,8,5,31,6.20,0,1,,1,,,27,32.2,35.7,29.7,,85,
Derrick Walker,SDG,TE,26,12,11,0,0,0,0,0,0,0,,0,39,21,212,10.10,1,0,,1,,,27,48.2,51.2,37.7,,26,
Mike Buck,NOR,QB,26,4,1,32,54,448,4,3,1,0,0.00,0,,0,0,,0,2,,0,,,26,25.9,32.9,28.9,,47,
Scott Secules,NWE,QB,29,12,4,75,134,918,2,9,8,33,4.13,0,,0,0,,0,4,,0,,,26,26.0,40.0,35.0,,46,
Tim Barnett,KAN,WR,25,16,0,0,0,0,0,0,1,3,3.00,0,33,17,182,10.71,1,0,,1,,,25,41.5,44.5,33.0,,90,
Robert Brooks,GNB,WR,23,14,0,0,0,0,0,0,3,17,5.67,0,33,20,180,9.00,0,1,,1,,,25,44.7,48.2,34.7,,89,
Chris Chandler,PHO,QB,28,4,2,52,103,471,3,2,3,2,0.67,0,,0,0,,0,2,,0,,,25,25.0,31.0,27.0,,49,
Billy Joe Tolliver,ATL,QB,27,7,2,39,76,464,3,5,7,48,6.86,0,,0,0,,0,0,,0,,,25,25.4,33.4,30.4,,48,
Ed West,GNB,TE,32,16,7,0,0,0,0,0,0,0,,0,42,25,253,10.12,0,0,,0,,,25,50.3,53.3,37.8,,27,
Paul Green,SEA,TE,27,15,8,0,0,0,0,0,0,0,,0,47,23,178,7.74,1,0,,1,,,24,46.8,49.8,35.3,,28,
Hoby Brenner,NOR,TE,34,10,9,0,0,0,0,0,0,0,,0,16,11,171,15.55,1,0,,1,,,23,34.1,37.1,28.6,,29,
Pat Carter,RAM,TE,27,11,10,0,0,0,0,0,0,0,,0,30,14,166,11.86,1,0,,1,,,23,36.6,39.6,29.6,,31,
Tim Lester,RAM,FB,25,16,14,0,0,0,0,0,11,74,6.73,0,28,18,154,8.56,0,0,,0,,,23,40.8,43.8,31.8,,89,
Lorenzo Neal,NOR,FB,23,2,2,0,0,0,0,0,21,175,8.33,1,,0,0,,0,1,,1,,,23,22.5,26.0,22.5,,90,
Reggie Rivers,DEN,RB,25,16,2,0,0,0,0,0,15,50,3.33,1,7,6,59,9.83,1,0,,2,,,23,28.9,28.9,25.9,,88,
James Thornton,NYJ,TE,28,13,6,0,0,0,0,0,0,0,,0,17,12,108,9.00,2,0,,2,,,23,34.8,37.8,28.8,,30,
Steve Bono,SFO,QB,31,8,0,39,61,416,0,1,12,14,1.17,1,,0,0,,0,0,,1,,,22,22.0,26.0,23.0,,50,
Torrance Small,NOR,WR,23,11,0,0,0,0,0,0,0,0,,0,26,16,164,10.25,1,0,,1,,,22,38.4,41.4,30.4,,91,
Floyd Turner,NOR,WR,27,10,2,0,0,0,0,0,0,0,,0,29,12,163,13.58,1,0,,1,,,22,34.3,37.3,28.3,,92,
Charles Wilson,TAM,WR,25,15,1,0,0,0,0,0,2,7,3.50,0,32,15,225,15.00,0,1,,0,,,22,37.2,40.7,29.7,,93,
Ty Hallock,DET,TE,22,16,4,0,0,0,0,0,0,0,,0,9,8,88,11.00,2,0,,2,,,21,28.8,28.8,24.8,,32,
Ostell Miles,CIN,RB,23,15,2,0,0,0,0,0,22,56,2.55,1,7,6,89,14.83,0,0,,1,,,21,26.5,26.5,23.5,,91,
Marv Cook,NWE,TE,27,16,12,0,0,0,0,0,0,0,,0,38,22,154,7.00,1,1,,1,,,20,42.4,45.9,31.4,,33,
Lawrence Dawsey,TAM,WR,26,4,4,0,0,0,0,0,0,0,,0,24,15,203,13.53,0,0,,0,,,20,35.3,38.3,27.8,,94,
Todd Kinchen,RAM,WR,24,6,1,0,0,0,0,0,2,10,5.00,0,12,8,137,17.13,1,1,,1,,,20,27.7,31.2,23.7,,95,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Bieniemy,SDG,RB,24,16,0,0,0,0,0,0,33,135,4.09,1,1,1,0,0.00,0,1,,1,,,19,19.5,23.0,19.0,,95,
Fred McAfee,NOR,RB,25,15,4,0,0,0,0,0,51,160,3.14,1,2,1,3,3.00,0,3,,1,,,19,20.3,24.8,19.8,,92,
Adrian Murrell,NYJ,RB,23,16,0,0,0,0,0,0,34,157,4.62,1,7,5,12,2.40,0,4,,1,,,19,23.9,28.9,21.4,,94,
