player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Jazz Jackson,NYJ,RB,23.0,13,0,0,0,0,0,0,6,11,1.83,0,5,54,10.8,0,0,0,0,0.0,0.0,7.0,11.5,11.5,9.0,0.0,125.0,0.0
Clint Longley,DAL,QB,23.0,4,1,7,23,102,1,1,3,12,4.0,0,0,0,0.0,0,0,0,0,0.0,0.0,7.0,7.3,8.3,8.3,0.0,54.0,0.0
Willie McGee,RAM,WR,25.0,14,0,0,0,0,0,0,0,0,0.0,0,6,83,13.83,0,1,0,0,0.0,0.0,7.0,13.3,13.8,10.3,0.0,73.0,0.0
Eddie Moss,STL,RB,27.0,8,0,0,0,0,0,0,4,12,3.0,1,0,0,0.0,0,0,0,1,0.0,0.0,7.0,7.2,7.2,7.2,0.0,123.0,0.0
Willie Brister,NYJ,TE,23.0,12,1,0,0,0,0,0,0,0,0.0,0,1,3,3.0,0,0,0,1,0.0,0.0,6.0,7.3,7.3,6.8,0.0,43.0,0.0
Carlos Brown,GNB,QB,23.0,13,0,3,4,63,1,0,0,0,0.0,0,0,0,0.0,0,1,0,0,0.0,0.0,6.0,5.5,6.0,5.5,0.0,56.0,0.0
Will Cureton,CLE,QB,25.0,1,1,10,32,95,1,1,1,1,1.0,0,0,0,0.0,0,0,0,0,0.0,0.0,6.0,5.9,6.9,6.9,0.0,55.0,0.0
Henry Hynoski,CLE,RB,22.0,14,0,0,1,0,0,0,7,38,5.43,0,4,31,7.75,0,1,0,0,0.0,0.0,6.0,9.9,10.4,7.9,0.0,127.0,0.0
Bill Larson,SFO,TE,22.0,14,2,0,0,0,0,0,0,0,0.0,0,5,64,12.8,0,0,0,0,0.0,0.0,6.0,11.4,11.4,8.9,0.0,42.0,0.0
Steve Rogers,NOR,RB,22.0,13,0,0,0,0,0,0,17,62,3.65,0,1,2,2.0,0,0,0,0,0.0,0.0,6.0,7.4,7.4,6.9,0.0,126.0,0.0
Steve Schubert,CHI,WR,24.0,12,0,0,0,0,0,0,0,0,0.0,0,5,68,13.6,0,1,0,0,0.0,0.0,6.0,10.8,11.3,8.3,0.0,74.0,0.0
Andre Tillman,MIA,TE,23.0,14,8,0,0,0,0,0,0,0,0.0,0,5,60,12.0,0,0,0,0,0.0,0.0,6.0,11.0,11.0,8.5,0.0,44.0,0.0
Bob Windsor,NWE,TE,33.0,14,3,0,0,0,0,0,0,0,0.0,0,6,57,9.5,0,0,0,0,0.0,0.0,6.0,11.7,11.7,8.7,0.0,45.0,0.0
Melvin Baker,3TM,WR,25.0,4,1,0,0,0,0,0,1,21,21.0,0,2,26,13.0,0,0,0,0,0.0,0.0,5.0,6.7,6.7,5.7,0.0,76.0,0.0
Robert Holmes,HOU,RB,30.0,14,2,0,0,0,0,0,19,42,2.21,0,1,5,5.0,0,0,0,0,0.0,0.0,5.0,5.7,5.7,5.2,0.0,128.0,0.0
JJ Jones,NYJ,QB,23.0,7,1,16,57,181,1,5,9,59,6.56,0,0,0,0.0,0,2,0,0,0.0,0.0,5.0,5.1,11.1,10.1,0.0,58.0,0.0
Lou Piccone,NYJ,WR,26.0,13,1,0,0,0,0,0,0,0,0.0,0,7,79,11.29,0,3,0,0,0.0,0.0,5.0,11.9,13.4,8.4,0.0,75.0,0.0
Joe Theismann,WAS,QB,26.0,14,0,10,22,96,1,3,3,34,11.33,0,0,0,0.0,0,0,0,0,0.0,0.0,5.0,5.2,8.2,8.2,0.0,57.0,0.0
Elmo Wright,2TM,WR,26.0,6,0,0,0,0,0,0,0,0,0.0,0,4,46,11.5,0,0,0,0,0.0,0.0,5.0,8.6,8.6,6.6,0.0,77.0,0.0
Chuck Bradley,SDG,TE,25.0,4,0,0,0,0,0,0,0,0,0.0,0,1,42,42.0,0,0,0,0,0.0,0.0,4.0,5.2,5.2,4.7,0.0,47.0,0.0
Clint Haslerig,2TM,RB,23.0,10,0,0,0,0,0,0,2,9,4.5,0,2,28,14.0,0,0,0,0,0.0,0.0,4.0,5.7,5.7,4.7,0.0,131.0,0.0
John Hufnagel,DEN,QB,24.0,5,1,16,51,287,1,8,8,47,5.88,0,0,0,0.0,0,0,0,0,0.0,0.0,4.0,4.2,12.2,12.2,0.0,59.0,0.0
Larry Jones,WAS,WR,24.0,14,0,0,0,0,0,0,0,0,0.0,0,2,33,16.5,0,5,0,1,0.0,0.0,4.0,6.3,8.8,5.3,0.0,78.0,0.0
John McMakin,DET,TE,25.0,11,2,0,0,0,0,0,0,0,0.0,0,2,43,21.5,0,0,0,0,0.0,0.0,4.0,6.3,6.3,5.3,0.0,46.0,0.0
Leon McQuay,NWE,RB,25.0,13,0,0,0,0,0,0,33,47,1.42,0,4,27,6.75,0,3,0,0,0.0,0.0,4.0,8.4,9.9,6.4,0.0,129.0,0.0
Oscar Reed,ATL,RB,31.0,7,0,0,0,0,0,0,14,40,2.86,0,2,1,0.5,0,0,0,0,0.0,0.0,4.0,6.1,6.1,5.1,0.0,130.0,0.0
Josh Ashton,STL,RB,26.0,2,0,0,0,0,0,0,10,44,4.4,0,0,0,0.0,0,1,0,0,0.0,0.0,3.0,3.4,3.9,3.4,0.0,132.0,0.0
Bert Askson,GNB,TE,30.0,14,0,0,0,0,0,0,0,0,0.0,0,2,25,12.5,0,0,0,0,0.0,0.0,3.0,4.5,4.5,3.5,0.0,49.0,0.0
Nate Hawkins,HOU,WR,25.0,11,0,0,0,0,0,0,0,0,0.0,0,1,32,32.0,0,0,0,0,0.0,0.0,3.0,4.2,4.2,3.7,0.0,79.0,0.0
Champ Henson,CIN,RB,22.0,6,0,0,0,0,0,0,11,38,3.45,0,1,-2,-2.0,0,1,0,0,0.0,0.0,3.0,3.6,4.1,3.1,0.0,135.0,0.0
Johnny Musso,CHI,RB,25.0,2,0,0,0,0,0,0,6,33,5.5,0,0,0,0.0,0,0,0,0,0.0,0.0,3.0,3.3,3.3,3.3,0.0,134.0,0.0
Jack Novak,CIN,TE,22.0,14,0,0,0,0,0,0,0,0,0.0,0,2,34,17.0,0,0,0,0,0.0,0.0,3.0,5.4,5.4,4.4,0.0,48.0,0.0
John Tarver,PHI,RB,26.0,8,1,0,0,0,0,0,7,20,2.86,0,5,14,2.8,0,0,0,0,0.0,0.0,3.0,8.4,8.4,5.9,0.0,133.0,0.0
Larry Cipa,NOR,QB,24.0,4,1,14,37,182,1,3,6,2,0.33,0,0,0,0.0,0,3,0,0,0.0,0.0,2.0,2.5,7.0,5.5,0.0,60.0,0.0
Emmett Edwards,HOU,WR,23.0,11,0,0,0,0,0,0,1,-4,-4.0,0,2,22,11.0,0,0,0,0,0.0,0.0,2.0,3.8,3.8,2.8,0.0,81.0,0.0
Gary Hammond,STL,WR,26.0,14,0,0,0,0,0,0,3,13,4.33,0,2,6,3.0,0,0,0,0,0.0,0.0,2.0,3.9,3.9,2.9,0.0,80.0,0.0
Kermit Johnson,SFO,RB,23.0,11,0,0,0,0,0,0,4,25,6.25,0,0,0,0.0,0,1,0,0,0.0,0.0,2.0,1.5,2.0,1.5,0.0,136.0,0.0
Keith Krepfle,PHI,TE,23.0,14,0,0,0,0,0,0,0,0,0.0,0,1,16,16.0,0,0,0,0,0.0,0.0,2.0,2.6,2.6,2.1,0.0,51.0,0.0
Milt Morin,CLE,TE,33.0,14,1,0,0,0,0,0,0,0,0.0,0,1,19,19.0,0,0,0,0,0.0,0.0,2.0,2.9,2.9,2.4,0.0,50.0,0.0
Bobby Scott,NOR,QB,26.0,1,0,8,17,96,0,1,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,2.0,1.8,2.8,2.8,0.0,61.0,0.0
Boyd Brown,DEN,TE,23.0,12,0,0,0,0,0,0,0,0,0.0,0,1,14,14.0,0,0,0,0,0.0,0.0,1.0,2.4,2.4,1.9,0.0,52.0,0.0
Jack Concannon,DET,QB,32.0,7,0,1,2,30,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,1.0,1.2,1.2,1.2,0.0,62.0,0.0
Willie Frazier,HOU,TE,33.0,5,0,0,0,0,0,0,0,0,0.0,0,1,9,9.0,0,0,0,0,0.0,0.0,1.0,1.9,1.9,1.4,0.0,54.0,0.0
Billy Lefear,CLE,RB,25.0,10,0,0,0,0,0,0,0,0,0.0,0,1,14,14.0,0,0,0,0,0.0,0.0,1.0,2.4,2.4,1.9,0.0,137.0,0.0
Sam McCullum,MIN,WR,23.0,9,0,0,0,0,0,0,0,0,0.0,0,2,25,12.5,0,2,0,0,0.0,0.0,1.0,2.5,3.5,1.5,0.0,83.0,0.0
Terry Nelson,RAM,TE,24.0,14,3,0,0,0,0,0,0,0,0.0,0,1,5,5.0,0,0,0,0,0.0,0.0,1.0,1.5,1.5,1.0,0.0,55.0,0.0
Billy Parks,HOU,WR,27.0,10,0,0,0,0,0,0,0,0,0.0,0,1,8,8.0,0,0,0,0,0.0,0.0,1.0,1.8,1.8,1.3,0.0,82.0,0.0
Gary Parris,CLE,TE,25.0,14,0,0,0,0,0,0,0,0,0.0,0,1,12,12.0,0,0,0,0,0.0,0.0,1.0,2.2,2.2,1.7,0.0,53.0,0.0
